ax_s,ay_s,az_s,gx_s,gy_s,gz_s,A_s,G_s
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9375,-0.2188,0.1094,0.0,0.0,0.0,0.9689,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.1875,0.1094,0.0,0.0,0.0,0.9623,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.125,0.0,0.0,0.0,0.9674,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.1875,0.1094,0.0,0.0,0.0,0.9623,0.0
-0.9531,-0.2188,0.1094,0.0,0.0,0.0,0.984,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.1875,0.125,0.0,0.0,0.0,0.9642,0.0
-0.9531,-0.2188,0.1094,0.0,0.0,0.0,0.984,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2188,0.1094,0.0,0.0,0.0,0.984,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9688,-0.2188,0.0781,0.0,0.0,0.0,0.9962,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2188,0.1094,0.0,0.0,0.0,0.984,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9688,-0.2031,0.0938,0.0,0.0,0.0,0.9942,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9688,-0.1875,0.1094,0.0,0.0,0.0,0.9928,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2188,0.1094,0.0,0.0,0.0,0.984,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9375,-0.1875,0.1094,0.0,0.0,0.0,0.9623,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9688,-0.1875,0.1094,0.0,0.0,0.0,0.9928,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9688,-0.2031,0.0781,0.0,0.0,0.0,0.9929,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9688,-0.2031,0.0938,0.0,0.0,0.0,0.9942,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0781,0.0,0.0,0.0,0.9745,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0781,0.0,0.0,0.0,0.9745,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9688,-0.2031,0.1094,0.0,0.0,0.0,0.9958,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.1875,0.0938,0.0,0.0,0.0,0.9607,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9688,-0.2031,0.0938,0.0,0.0,0.0,0.9942,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9688,-0.2031,0.0938,0.0,0.0,0.0,0.9942,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.0938,0.0,0.0,0.0,0.9759,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.1875,0.1094,0.0,0.0,0.0,0.9775,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0781,0.0,0.0,0.0,0.9777,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.1875,0.1094,0.0,0.0,0.0,0.9623,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.1094,0.0,0.0,0.0,0.9655,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9531,-0.2031,0.125,0.0,0.0,0.0,0.9825,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.2031,0.0938,0.0,0.0,0.0,0.979,0.0
-0.9375,-0.2031,0.0938,0.0,0.0,0.0,0.9638,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9531,-0.2188,0.0938,0.0,0.0,0.0,0.9824,0.0
-0.9531,-0.2031,0.1094,0.0,0.0,0.0,0.9806,0.0
-0.9688,-0.2031,0.0938,0.0,0.0,0.0,0.9942,0.0
